11995	A
11670	A
9742	A
12926	A
3365	A
4579	A
2261	A
10584	A
1170	A
4904	A
8348	A
7070	A
3823	A
11872	A
15128	A
12902	A
14435	A
12957	B
12103	A
13441	A
180	A
15226	A
11823	A
13870	A
487	A
14649	A
5675	A
9276	A
9769	B
7157	A
3780	A
9979	A
5838	B
9023	A
9633	A
4775	A
50	A
3759	A
8040	B
7940	B
959	A
7062	A
8416	A
6799	A
2433	A
10910	A
3147	B
3459	A
13989	A
7915	A
10628	A
7881	A
4327	A
237	A
14803	B
13226	B
11256	A
13742	B
11504	A
632	A
5521	A
272	A
14870	A
3388	A
11469	A
9277	A
5884	A
9955	A
9999	A
9671	A
9383	B
11077	A
5822	A
9845	A
1383	A
10783	A
8967	A
7131	A
1653	B
12038	A
13110	A
7666	A
7314	A
12920	A
11419	B
2862	B
6700	A
1026	A
4257	A
15144	A
13013	A
14284	A
14306	A
8677	A
8865	A
14662	A
3886	A
14521	A
2104	A
225	A
8395	A
6185	A
13879	A
7925	A
2185	A
6137	B
6500	A
662	A
650	A
14645	A
817	A
7150	B
13153	A
11402	A
14850	A
4770	A
2066	A
8627	B
10370	A
14697	A
835	B
10367	A
3773	A
8218	A
9195	A
7403	A
290	A
9558	B
13369	A
9306	A
13685	A
5750	A
7327	A
9859	A
15057	A
7297	A
3422	B
3415	B
8418	B
6959	A
6973	B
989	A
1399	A
1381	A
2817	B
10190	A
12178	A
14147	A
13184	A
682	A
8330	A
9898	A
2885	A
3090	A
13227	A
14546	A
10562	A
6773	A
8279	A
1338	A
1146	A
6320	B
6987	A
5622	A
8528	B
10336	A
1745	A
8206	A
13282	A
4833	A
14668	A
8816	A
7903	A
1819	B
6354	A
12570	A
13021	A
11535	A
11730	A
14790	B
5953	A
4171	A
14215	A
1078	A
2421	A
5539	A
9937	B
9839	B
8339	A
10297	A
4617	A
12145	B
939	B
15125	A
9078	A
15113	A
11423	A
7610	A
11445	A
5144	B
1615	A
2475	A
13916	B
8847	A
14883	A
7064	A
5952	A
10739	A
9731	A
205	A
10062	A
11626	A
15158	A
10996	B
1024	A
4133	A
176	A
3270	A
8608	B
14004	A
12865	A
6708	A
4329	A
9882	A
10560	A
8405	A
6774	A
13794	A
3163	B
9974	A
5948	A
9263	A
5810	A
14407	A
4368	A
2051	A
9324	B
7991	A
8877	A
10449	A
2625	A
11794	A
51	A
4011	B
5304	A
11613	A
3914	A
8523	A
10772	A
13010	A
5717	A
1091	B
11586	A
13390	A
4902	A
4603	B
8634	A
6742	A
5646	A
11252	B
3913	A
763	A
4532	A
5735	B
13999	A
4305	A
10650	A
9962	A
4909	A
8010	A
14366	A
8991	B
5063	A
3736	A
7110	B
9760	B
7363	A
765	B
11376	A
8846	A
2024	A
429	A
2448	A
164	A
4597	B
11501	A
14541	A
9809	A
982	B
10619	A
5564	B
11704	A
13354	A
